itemId,family,scientificName,fileName,imageThumbnailUrl,description
31829,|Sesiidae|Synanthedon tipuliformis,Synanthedon tipuliformis,synanthedon_tipuliformis_01.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_31829_g2_serialNumber_2.jpeg,"<i>Synanthedon tipuliformis</i> (Clerck, l759) (Sesiidae: Sesiinae), Male - Tas, Hobart, 15. Dec. 1943, L.E. Couchmam <i>leg</i>. (ANIC). This is a pest species This is a pest species"
31833,|Sesiidae|Synanthedon tipuliformis,Synanthedon tipuliformis,synanthedon_tipuliformis_02.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_31833_g2_serialNumber_2.jpeg,"<i>Synanthedon tipuliformis</i> (Clerck, l759) (Sesiidae: Sesiinae), Male - ACT, Weston Creek, 9. Nov. 1991, T.E. Bellas <i>leg</i>. (ANIC). This is a pest species This is a pest species"
31844,|Sesiidae|Trilochana smaragdina,Trilochana smaragdina,trilochana_smaragdina_01.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_31844_g2_serialNumber_2.jpeg,"<i>Trilochana smaragdina</i> Diakonoff, 1954 (Sesiidae: Sesiinae), Male - QLD, Iron Range, 17. Dec. 1997, A. Zwick <i>leg</i>. (ANIC)."
31864,|Simaethistidae|Metaprotus magnifica,Metaprotus magnifica,metaprotus_magnifica_01.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_31864_g2_serialNumber_2.jpeg,"<i>Metaprotus magnifica</i> (Meyrick, 1887) (Simaethistidae), Female - NSW, Narara, 26. Sep. 1948, L.H. Moss-Robinson <i>leg</i>. (ANIC)."
31885,|Sphingidae|Acosmeryx anceus,Acosmeryx anceus,acosmeryx_anceus_01.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_31885_g2_serialNumber_2.jpeg,"<i>Acosmeryx anceus</i> (Stoll, 1781) (Sphingidae: Macroglossinae), Female - QLD, The Intake, Redlynch, Cairns, 30. Nov. 1967, R. Dobson <i>leg</i>. (ANIC)."
31890,|Sphingidae|Acosmeryx anceus,Acosmeryx anceus,acosmeryx_anceus_02.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_31890_g2_serialNumber_2.jpeg,"<i>Acosmeryx anceus</i> (Stoll, 1781) (Sphingidae: Macroglossinae), Male - QLD, 11 miles S of Ravenshoe, 20. Mar. 1964, I.F.B. Common M.S. Upton <i>leg</i>. (ANIC)."
31901,|Sphingidae|Acosmeryx miskini,Acosmeryx miskini,acosmeryx_miskini_01.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_31901_g2_serialNumber_2.jpeg,"<i>Acosmeryx miskini</i> (Murray, 1873) (Sphingidae: Macroglossinae), Female - QLD, Bluewater Range, 14. Dec. 1990, L. Ring <i>leg</i>. (ANIC)."
31905,|Sphingidae|Acosmeryx miskini,Acosmeryx miskini,acosmeryx_miskini_02.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_31905_g2_serialNumber_2.jpeg,"<i>Acosmeryx miskini</i> (Murray, 1873) (Sphingidae: Macroglossinae), Male - QLD, 3 miles W of Mossman, 14. Mar. 1964, I.F.B. Common M.S. Upton <i>leg</i>. (ANIC)."
31916,|Sphingidae|Agrius convolvuli,Agrius convolvuli,agrius_convolvuli_01.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_31916_g2_serialNumber_2.jpeg,"<i>Agrius convolvuli</i> (Linnaeus, 1758) (Sphingidae: Sphinginae), Male - QLD, 14 km east of Cunnamulla, 10. Oct. 1987, J.C. Keast L.S. Willan <i>leg</i>. (LWC)."
31928,|Sphingidae|Agrius godarti,Agrius godarti,agrius_godarti_01.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_31928_g2_serialNumber_2.jpeg,"<i>Agrius godarti</i> (W.S.Macleay, 1826) (Sphingidae: Sphinginae), Female - QLD, 14 km east of Cunnamulla, 10. Oct. 1987, J.C.Keast L.S. Willan <i>leg</i>. (LWC)."
31940,|Sphingidae|Ambulyx dohertyi,Ambulyx dohertyi,ambulyx_dohertyi_01.jpg,main.php_g2_view_core.DownloadItem_g2_itemId_31940_g2_serialNumber_2.jpeg,"<i>Ambulyx dohertyi</i> Rothschild, 1894 (Sphingidae: Sphinginae), Female - QLD, Iron Range, 15. Apr. 1964, I.F.B.Common M.S. Upton <i>leg</i>. (ANIC)."
